,Data,Timeframe
0,4.79430335633043,1960-02-01
1,4.86908451786764,1960-05-01
2,4.86908451786764,1960-08-01
3,4.90647509863625,1960-11-01
4,4.93971117043057,1961-02-01
5,4.99787429607063,1961-05-01
6,5.00618331401921,1961-08-01
7,5.03111036786494,1961-11-01
8,5.12250956529932,1962-02-01
9,5.25545385247659,1962-05-01
10,5.23052679863086,1962-08-01
11,5.21806327170799,1962-11-01
12,5.30530796016807,1963-02-01
13,5.2928444332452,1963-05-01
14,5.28868992427091,1963-08-01
15,5.45071577426822,1963-11-01
16,5.47979733708824,1964-02-01
17,5.69583180375131,1964-05-01
18,5.76645845631424,1964-08-01
19,5.82877609092859,1964-11-01
20,5.89109372554293,1965-02-01
21,5.99495644990018,1965-05-01
22,6.01572899477163,1965-08-01
23,6.01572899477163,1965-11-01
24,6.01988350374592,1966-02-01
25,6.13205524605174,1966-05-01
26,6.2317634614347,1966-08-01
27,6.24838149733186,1966-11-01
28,6.25669051528044,1967-02-01
29,6.36470774861197,1967-05-01
30,6.36886225758626,1967-08-01
31,6.41040734732916,1967-11-01
32,6.54335163450643,1968-02-01
33,6.64721435886368,1968-05-01
34,6.65967788578655,1968-08-01
35,6.7593861011695,1968-11-01
36,6.98372958578115,1969-02-01
37,7.10542090479766,1969-05-01
38,7.22035159497993,1969-08-01
39,7.27443662565394,1969-11-01
40,7.39612794467045,1970-02-01
41,7.70035624221174,1970-05-01
42,7.82880819006251,1970-08-01
43,8.00458453975303,1970-11-01
44,8.1330364876038,1971-02-01
45,8.35613723913408,1971-05-01
46,8.5183923311561,1971-08-01
47,8.69416868084662,1971-11-01
48,8.8902269170399,1972-02-01
49,9.02543949372491,1972-05-01
50,9.2755827605922,1972-08-01
51,9.41079533727721,1972-11-01
52,9.78262992316101,1973-02-01
53,10.080097591868,1973-05-01
54,10.3167196010668,1973-08-01
55,10.6006660121054,1973-11-01
56,11.1009525458399,1974-02-01
57,11.7161697697568,1974-05-01
58,12.1623712728173,1974-08-01
59,12.7235034660601,1974-11-01
60,13.744358420032,1975-02-01
61,14.5461126612006,1975-05-01
62,14.4315763410336,1975-08-01
63,14.7900953550473,1975-11-01
64,14.7900953550473,1975-12-01
65,15.9205485032038,1976-01-01
66,15.9205485032038,1976-02-01
67,15.9205485032038,1976-03-01
68,16.8625927933342,1976-04-01
69,16.8625927933342,1976-05-01
70,16.8625927933342,1976-06-01
71,17.1452060803733,1976-07-01
72,17.1452060803733,1976-08-01
73,17.1452060803733,1976-09-01
74,17.8988415124776,1976-10-01
75,17.8988415124776,1976-11-01
76,17.8988415124776,1976-12-01
77,18.5582725155689,1977-01-01
78,18.5582725155689,1977-02-01
79,18.5582725155689,1977-03-01
80,19.2177035186602,1977-04-01
81,19.2177035186602,1977-05-01
82,19.2177035186602,1977-06-01
83,19.4061123766862,1977-07-01
84,19.4061123766862,1977-08-01
85,19.4061123766862,1977-09-01
86,19.7829300927384,1977-10-01
87,19.7829300927384,1977-11-01
88,19.7829300927384,1977-12-01
89,20.0655433797775,1978-01-01
90,20.0655433797775,1978-02-01
91,20.0655433797775,1978-03-01
92,20.4423610958297,1978-04-01
93,20.4423610958297,1978-05-01
94,20.4423610958297,1978-06-01
95,21.0075876699079,1978-07-01
96,21.0075876699079,1978-08-01
97,21.0075876699079,1978-09-01
98,21.3844053859601,1978-10-01
99,21.3844053859601,1978-11-01
100,21.3844053859601,1978-12-01
101,22.2322452470774,1979-01-01
102,22.2322452470774,1979-02-01
103,22.2322452470774,1979-03-01
104,22.9858806791818,1979-04-01
105,22.9858806791818,1979-05-01
106,22.9858806791818,1979-06-01
107,23.9279249693122,1979-07-01
108,23.9279249693122,1979-08-01
109,23.9279249693122,1979-09-01
110,24.7757648304295,1979-10-01
111,24.7757648304295,1979-11-01
112,24.7757648304295,1979-12-01
113,25.7178091205599,1980-01-01
114,25.7178091205599,1980-02-01
115,25.7178091205599,1980-03-01
